file,method,psnr
CXR1000_IM-0003-1001.bmp,lsb,75.156
CXR1000_IM-0003-1001.bmp,adaptive,75.335
CXR1000_IM-0003-2001.bmp,lsb,75.249
CXR1000_IM-0003-2001.bmp,adaptive,75.397
CXR1001_IM-0004-1001.bmp,lsb,75.266
CXR1001_IM-0004-1001.bmp,adaptive,75.156
CXR1001_IM-0004-1002.bmp,lsb,75.275
CXR1001_IM-0004-1002.bmp,adaptive,75.486
CXR1002_IM-0004-1001.bmp,lsb,75.335
CXR1002_IM-0004-1001.bmp,adaptive,75.275
CXR1002_IM-0004-2001.bmp,lsb,75.335
CXR1002_IM-0004-2001.bmp,adaptive,75.344
CXR1003_IM-0005-2002.bmp,lsb,75.215
CXR1003_IM-0005-2002.bmp,adaptive,75.765
CXR1004_IM-0005-1001.bmp,lsb,75.249
CXR1004_IM-0005-1001.bmp,adaptive,75.181
CXR1004_IM-0005-2001.bmp,lsb,75.405
CXR1004_IM-0005-2001.bmp,adaptive,74.992
CXR1005_IM-0006-1001.bmp,lsb,75.123
CXR1005_IM-0006-1001.bmp,adaptive,75.292
CXR1005_IM-0006-3003.bmp,lsb,75.275
CXR1005_IM-0006-3003.bmp,adaptive,75.486
CXR1006_IM-0007-1001.bmp,lsb,75.459
CXR1006_IM-0007-1001.bmp,adaptive,75.207
CXR1006_IM-0007-3003.bmp,lsb,75.266
CXR1006_IM-0007-3003.bmp,adaptive,75.309
CXR1007_IM-0008-1001.bmp,lsb,75.131
CXR1007_IM-0008-1001.bmp,adaptive,75.181
CXR1007_IM-0008-2001.bmp,lsb,75.082
CXR1007_IM-0008-2001.bmp,adaptive,75.379
CXR1007_IM-0008-3001.bmp,lsb,75.266
CXR1007_IM-0008-3001.bmp,adaptive,75.504
CXR1008_IM-0009-2001.bmp,lsb,75.224
CXR1008_IM-0009-2001.bmp,adaptive,75.106
CXR1008_IM-0009-4004.bmp,lsb,75.54
CXR1008_IM-0009-4004.bmp,adaptive,75.477
CXR1009_IM-0010-1001.bmp,lsb,75.405
CXR1009_IM-0010-1001.bmp,adaptive,75.486
CXR1009_IM-0010-2001.bmp,lsb,75.123
CXR1009_IM-0010-2001.bmp,adaptive,75.318
CXR100_IM-0002-1001.bmp,lsb,75.405
CXR100_IM-0002-1001.bmp,adaptive,75.335
CXR100_IM-0002-2001.bmp,lsb,75.309
CXR100_IM-0002-2001.bmp,adaptive,75.275
CXR1010_IM-0012-1001.bmp,lsb,75.37
CXR1010_IM-0012-1001.bmp,adaptive,75.504
CXR1010_IM-0012-2001.bmp,lsb,75.397
CXR1010_IM-0012-2001.bmp,adaptive,75.301
CXR1011_IM-0013-1001.bmp,lsb,75.504
CXR1011_IM-0013-1001.bmp,adaptive,75.249
CXR1011_IM-0013-1002.bmp,lsb,75.266
CXR1011_IM-0013-1002.bmp,adaptive,75.318
CXR1012_IM-0013-1001.bmp,lsb,75.258
CXR1012_IM-0013-1001.bmp,adaptive,75.432
CXR1013_IM-0013-1001.bmp,lsb,75.45
CXR1013_IM-0013-1001.bmp,adaptive,75.241
CXR1013_IM-0013-2001.bmp,lsb,75.318
CXR1013_IM-0013-2001.bmp,adaptive,75.353
CXR1014_IM-0013-1001.bmp,lsb,75.361
CXR1014_IM-0013-1001.bmp,adaptive,75.37
CXR1014_IM-0013-2001.bmp,lsb,75.318
CXR1014_IM-0013-2001.bmp,adaptive,75.468
CXR1015_IM-0001-1001.bmp,lsb,75.258
CXR1015_IM-0001-1001.bmp,adaptive,75.558
CXR1015_IM-0001-2001.bmp,lsb,75.275
CXR1015_IM-0001-2001.bmp,adaptive,75.131
CXR1016_IM-0013-1001.bmp,lsb,75.459
CXR1016_IM-0013-1001.bmp,adaptive,75.405
CXR1016_IM-0013-2001.bmp,lsb,75.353
CXR1016_IM-0013-2001.bmp,adaptive,75.414
CXR1017_IM-0013-1001.bmp,lsb,75.148
CXR1017_IM-0013-1001.bmp,adaptive,75.486
CXR1017_IM-0013-1002.bmp,lsb,75.45
CXR1017_IM-0013-1002.bmp,adaptive,75.353
CXR1018_IM-0014-5001.bmp,lsb,75.495
CXR1018_IM-0014-5001.bmp,adaptive,75.19
CXR1018_IM-0014-6001.bmp,lsb,75.309
CXR1018_IM-0014-6001.bmp,adaptive,75.106
CXR1019_IM-0015-1001.bmp,lsb,75.181
CXR1019_IM-0015-1001.bmp,adaptive,75.344
CXR1019_IM-0015-2001.bmp,lsb,75.258
CXR1019_IM-0015-2001.bmp,adaptive,75.232
CXR101_IM-0011-2001.bmp,lsb,74.968
CXR101_IM-0011-2001.bmp,adaptive,75.45
CXR101_IM-0011-4004.bmp,lsb,75.198
CXR101_IM-0011-4004.bmp,adaptive,75.215
CXR1020_IM-0017-1001.bmp,lsb,75.249
CXR1020_IM-0017-1001.bmp,adaptive,75.275
CXR1020_IM-0017-2001.bmp,lsb,75.207
CXR1020_IM-0017-2001.bmp,adaptive,75.54
CXR1021_IM-0017-1001-0001.bmp,lsb,75.468
CXR1021_IM-0017-1001-0001.bmp,adaptive,75.423
CXR1021_IM-0017-1001-0002.bmp,lsb,75.224
CXR1021_IM-0017-1001-0002.bmp,adaptive,75.432
CXR1022_IM-0017-1001.bmp,lsb,75.198
CXR1022_IM-0017-1001.bmp,adaptive,75.19
CXR1022_IM-0017-2001.bmp,lsb,75.309
CXR1022_IM-0017-2001.bmp,adaptive,75.301
CXR1023_IM-0018-1001.bmp,lsb,75.344
CXR1023_IM-0018-1001.bmp,adaptive,75.414
CXR1023_IM-0018-2001.bmp,lsb,75.198
CXR1023_IM-0018-2001.bmp,adaptive,75.224
CXR1024_IM-0019-1001.bmp,lsb,75.504
CXR1024_IM-0019-1001.bmp,adaptive,75.301
CXR1025_IM-0020-1001.bmp,lsb,75.432
CXR1025_IM-0020-1001.bmp,adaptive,75.181
CXR1025_IM-0020-3001.bmp,lsb,75.335
CXR1025_IM-0020-3001.bmp,adaptive,75.241
CXR1026_IM-0021-2002.bmp,lsb,75.327
CXR1026_IM-0021-2002.bmp,adaptive,75.379
CXR1027_IM-0021-1001.bmp,lsb,75.065
CXR1027_IM-0021-1001.bmp,adaptive,75.568
CXR1027_IM-0021-2001.bmp,lsb,75.361
CXR1027_IM-0021-2001.bmp,adaptive,75.098
CXR1028_IM-0022-1001.bmp,lsb,75.495
CXR1028_IM-0022-1001.bmp,adaptive,75.057
CXR1028_IM-0022-2001.bmp,lsb,75.344
CXR1028_IM-0022-2001.bmp,adaptive,75.642
CXR1029_IM-0022-1001.bmp,lsb,75.353
CXR1029_IM-0022-1001.bmp,adaptive,75.19
CXR102_IM-0016-1001.bmp,lsb,75.275
CXR102_IM-0016-1001.bmp,adaptive,75.181
CXR102_IM-0016-2001.bmp,lsb,75.106
CXR102_IM-0016-2001.bmp,adaptive,75.459
CXR1030_IM-0024-1001.bmp,lsb,74.968
CXR1030_IM-0024-1001.bmp,adaptive,75.335
CXR1030_IM-0024-2001.bmp,lsb,75.283
CXR1030_IM-0024-2001.bmp,adaptive,75.432
CXR1031_IM-0025-4004.bmp,lsb,75.379
CXR1031_IM-0025-4004.bmp,adaptive,75.486
CXR1032_IM-0026-1001-0001.bmp,lsb,75.477
CXR1032_IM-0026-1001-0001.bmp,adaptive,75.139
CXR1032_IM-0026-1001-0002.bmp,lsb,75.344
CXR1032_IM-0026-1001-0002.bmp,adaptive,75.397
CXR1033_IM-0027-2001.bmp,lsb,75.577
CXR1033_IM-0027-2001.bmp,adaptive,75.073
CXR1033_IM-0027-4004.bmp,lsb,75.041
CXR1033_IM-0027-4004.bmp,adaptive,75.249
CXR1034_IM-0028-1001.bmp,lsb,75.327
CXR1034_IM-0028-1001.bmp,adaptive,75.215
