file,method,psnr
CXR1034_IM-0028-1002.bmp,lsb,75.292
CXR1034_IM-0028-1002.bmp,adaptive,75.301
CXR1035_IM-0028-1001.bmp,lsb,75.423
CXR1035_IM-0028-1001.bmp,adaptive,75.486
CXR1035_IM-0028-2001.bmp,lsb,75.19
CXR1035_IM-0028-2001.bmp,adaptive,75.292
CXR1036_IM-0029-1001.bmp,lsb,75.37
CXR1036_IM-0029-1001.bmp,adaptive,75.353
CXR1037_IM-0029-1001.bmp,lsb,75.318
CXR1037_IM-0029-1001.bmp,adaptive,75.344
CXR1037_IM-0029-2001.bmp,lsb,75.232
CXR1037_IM-0029-2001.bmp,adaptive,75.37
CXR1038_IM-0029-1001.bmp,lsb,75.495
CXR1038_IM-0029-1001.bmp,adaptive,75.224
CXR1038_IM-0029-2001.bmp,lsb,75.388
CXR1038_IM-0029-2001.bmp,adaptive,75.318
CXR1039_IM-0030-1002.bmp,lsb,75.106
CXR1039_IM-0030-1002.bmp,adaptive,75.215
CXR103_IM-0023-1001.bmp,lsb,75.335
CXR103_IM-0023-1001.bmp,adaptive,75.156
CXR103_IM-0023-2001.bmp,lsb,75.405
CXR103_IM-0023-2001.bmp,adaptive,75.432
CXR1040_IM-0032-2001.bmp,lsb,75.258
CXR1040_IM-0032-2001.bmp,adaptive,75.318
CXR1040_IM-0032-4004.bmp,lsb,75.181
CXR1040_IM-0032-4004.bmp,adaptive,75.181
CXR1041_IM-0033-1001.bmp,lsb,75.241
CXR1041_IM-0033-1001.bmp,adaptive,75.577
CXR1041_IM-0033-2001.bmp,lsb,75.604
CXR1041_IM-0033-2001.bmp,adaptive,75.414
CXR1042_IM-0034-1001.bmp,lsb,75.37
CXR1042_IM-0034-1001.bmp,adaptive,75.123
CXR1042_IM-0034-3001.bmp,lsb,75.266
CXR1042_IM-0034-3001.bmp,adaptive,75.361
CXR1043_IM-0035-0001-0001.bmp,lsb,75.165
CXR1043_IM-0035-0001-0001.bmp,adaptive,75.266
CXR1043_IM-0035-0001-0002.bmp,lsb,75.232
CXR1043_IM-0035-0001-0002.bmp,adaptive,75.344
CXR1044_IM-0036-1001.bmp,lsb,75.258
CXR1044_IM-0036-1001.bmp,adaptive,75.397
CXR1044_IM-0036-2001.bmp,lsb,75.37
CXR1044_IM-0036-2001.bmp,adaptive,75.139
CXR1045_IM-0036-1001.bmp,lsb,75.309
CXR1045_IM-0036-1001.bmp,adaptive,75.45
CXR1045_IM-0036-2001.bmp,lsb,75.486
CXR1045_IM-0036-2001.bmp,adaptive,75.632
CXR1046_IM-0036-1001.bmp,lsb,75.531
CXR1046_IM-0036-1001.bmp,adaptive,75.353
CXR1046_IM-0036-2001.bmp,lsb,75.249
CXR1046_IM-0036-2001.bmp,adaptive,74.992
CXR1047_IM-0036-1001.bmp,lsb,75.249
CXR1047_IM-0036-1001.bmp,adaptive,74.944
CXR1047_IM-0036-2001.bmp,lsb,75.327
CXR1047_IM-0036-2001.bmp,adaptive,75.215
CXR1048_IM-0036-1001.bmp,lsb,75.309
CXR1048_IM-0036-1001.bmp,adaptive,75.275
CXR1048_IM-0036-2001.bmp,lsb,75.441
CXR1048_IM-0036-2001.bmp,adaptive,75.241
CXR1049_IM-0036-1001.bmp,lsb,75.098
CXR1049_IM-0036-1001.bmp,adaptive,75.258
