file,method,psnr
airplane00.bmp,lsb,75.388
airplane00.bmp,adaptive,75.318
airplane01.bmp,lsb,75.397
airplane01.bmp,adaptive,75.266
airplane03.bmp,lsb,75.232
airplane03.bmp,adaptive,75.065
airplane04.bmp,lsb,75.139
airplane04.bmp,adaptive,75.309
airplane05.bmp,lsb,75.423
airplane05.bmp,adaptive,75.266
airplane06.bmp,lsb,75.275
airplane06.bmp,adaptive,75.432
airplane07.bmp,lsb,75.115
airplane07.bmp,adaptive,75.379
airplane08.bmp,lsb,75.558
airplane08.bmp,adaptive,75.049
airplane09.bmp,lsb,75.414
airplane09.bmp,adaptive,75.414
airplane10.bmp,lsb,75.558
airplane10.bmp,adaptive,75.397
airplane11.bmp,lsb,75.207
airplane11.bmp,adaptive,75.54
airplane12.bmp,lsb,75.353
airplane12.bmp,adaptive,75.37
airplane13.bmp,lsb,75.258
airplane13.bmp,adaptive,75.207
airplane14.bmp,lsb,75.549
airplane14.bmp,adaptive,75.397
airplane15.bmp,lsb,75.423
airplane15.bmp,adaptive,75.335
airplane16.bmp,lsb,75.568
airplane16.bmp,adaptive,75.405
airplane17.bmp,lsb,75.098
airplane17.bmp,adaptive,75.37
airplane18.bmp,lsb,75.065
airplane18.bmp,adaptive,75.283
airplane19.bmp,lsb,75.477
airplane19.bmp,adaptive,75.344
airplane20.bmp,lsb,75.275
airplane20.bmp,adaptive,75.327
airplane21.bmp,lsb,75.232
airplane21.bmp,adaptive,75.275
airplane22.bmp,lsb,75.468
airplane22.bmp,adaptive,75.504
airplane23.bmp,lsb,75.249
airplane23.bmp,adaptive,75.388
airplane24.bmp,lsb,75.207
airplane24.bmp,adaptive,75.232
airplane25.bmp,lsb,75.309
airplane25.bmp,adaptive,75.414
airplane26.bmp,lsb,75.008
airplane26.bmp,adaptive,75.477
airplane27.bmp,lsb,75.139
airplane27.bmp,adaptive,75.258
airplane28.bmp,lsb,75.224
airplane28.bmp,adaptive,75.057
airplane29.bmp,lsb,75.405
airplane29.bmp,adaptive,74.976
airplane30.bmp,lsb,75.361
airplane30.bmp,adaptive,75.379
airplane31.bmp,lsb,75.441
airplane31.bmp,adaptive,75.698
airplane32.bmp,lsb,75.215
airplane32.bmp,adaptive,75.327
airplane33.bmp,lsb,75.37
airplane33.bmp,adaptive,75.388
airplane34.bmp,lsb,75.131
airplane34.bmp,adaptive,75.335
airplane35.bmp,lsb,75.309
airplane35.bmp,adaptive,75.318
airplane36.bmp,lsb,75.549
airplane36.bmp,adaptive,75.106
airplane37.bmp,lsb,75.45
airplane37.bmp,adaptive,75.441
airplane38.bmp,lsb,75.397
airplane38.bmp,adaptive,75.558
airplane39.bmp,lsb,75.504
airplane39.bmp,adaptive,75.318
airplane40.bmp,lsb,75.577
airplane40.bmp,adaptive,75.361
airplane41.bmp,lsb,75.414
airplane41.bmp,adaptive,75.327
airplane42.bmp,lsb,75.283
airplane42.bmp,adaptive,75.258
airplane43.bmp,lsb,75.318
airplane43.bmp,adaptive,75.215
airplane44.bmp,lsb,75.45
airplane44.bmp,adaptive,75.344
airplane45.bmp,lsb,75.207
airplane45.bmp,adaptive,75.595
airplane46.bmp,lsb,75.388
airplane46.bmp,adaptive,75.106
airplane47.bmp,lsb,75.283
airplane47.bmp,adaptive,75.335
airplane48.bmp,lsb,75.318
airplane48.bmp,adaptive,75.292
airplane49.bmp,lsb,75.232
airplane49.bmp,adaptive,75.549
airplane50.bmp,lsb,75.441
airplane50.bmp,adaptive,75.073
airplane51.bmp,lsb,75.379
airplane51.bmp,adaptive,75.098
airplane52.bmp,lsb,75.249
airplane52.bmp,adaptive,75.292
airplane53.bmp,lsb,75.301
airplane53.bmp,adaptive,75.344
airplane54.bmp,lsb,75.441
airplane54.bmp,adaptive,75.344
airplane55.bmp,lsb,75.106
airplane55.bmp,adaptive,75.441
airplane56.bmp,lsb,75.379
airplane56.bmp,adaptive,75.632
airplane57.bmp,lsb,75.241
airplane57.bmp,adaptive,75.232
airplane58.bmp,lsb,75.215
airplane58.bmp,adaptive,75.522
airplane59.bmp,lsb,75.232
airplane59.bmp,adaptive,75.139
airplane60.bmp,lsb,75.249
airplane60.bmp,adaptive,75.082
airplane61.bmp,lsb,75.388
airplane61.bmp,adaptive,75.423
airplane62.bmp,lsb,75.504
airplane62.bmp,adaptive,75.432
airplane63.bmp,lsb,75.468
airplane63.bmp,adaptive,75.504
airplane64.bmp,lsb,75.327
airplane64.bmp,adaptive,75.423
airplane65.bmp,lsb,75.379
airplane65.bmp,adaptive,75.361
airplane66.bmp,lsb,75.495
airplane66.bmp,adaptive,75.397
airplane67.bmp,lsb,75.19
airplane67.bmp,adaptive,75.405
airplane68.bmp,lsb,75.292
airplane68.bmp,adaptive,75.241
airplane69.bmp,lsb,75.318
airplane69.bmp,adaptive,75.309
airplane70.bmp,lsb,75.207
airplane70.bmp,adaptive,75.258
airplane71.bmp,lsb,75.249
airplane71.bmp,adaptive,75.181
airplane72.bmp,lsb,75.353
airplane72.bmp,adaptive,75.292
airplane73.bmp,lsb,75.318
airplane73.bmp,adaptive,75.249
airplane74.bmp,lsb,75.513
airplane74.bmp,adaptive,75.353
airplane75.bmp,lsb,75.301
airplane75.bmp,adaptive,75.586
airplane76.bmp,lsb,75.495
airplane76.bmp,adaptive,75.318
airplane77.bmp,lsb,75.301
airplane77.bmp,adaptive,75.423
airplane78.bmp,lsb,75.301
airplane78.bmp,adaptive,75.301
airplane79.bmp,lsb,75.468
airplane79.bmp,adaptive,75.405
airplane80.bmp,lsb,75.595
airplane80.bmp,adaptive,75.181
airplane81.bmp,lsb,75.266
airplane81.bmp,adaptive,75.37
airplane82.bmp,lsb,75.353
airplane82.bmp,adaptive,75.361
airplane83.bmp,lsb,75.224
airplane83.bmp,adaptive,75.405
airplane84.bmp,lsb,75.115
airplane84.bmp,adaptive,75.344
airplane85.bmp,lsb,75.54
airplane85.bmp,adaptive,75.486
airplane86.bmp,lsb,75.249
airplane86.bmp,adaptive,75.568
airplane87.bmp,lsb,75.318
airplane87.bmp,adaptive,75.568
airplane88.bmp,lsb,75.224
airplane88.bmp,adaptive,75.241
airplane89.bmp,lsb,75.309
airplane89.bmp,adaptive,75.397
airplane90.bmp,lsb,75.275
airplane90.bmp,adaptive,75.318
airplane91.bmp,lsb,75.224
airplane91.bmp,adaptive,75.486
airplane92.bmp,lsb,75.441
airplane92.bmp,adaptive,75.198
airplane93.bmp,lsb,75.173
airplane93.bmp,adaptive,75.292
airplane94.bmp,lsb,75.477
airplane94.bmp,adaptive,75.459
airplane95.bmp,lsb,75.292
airplane95.bmp,adaptive,75.198
airplane96.bmp,lsb,75.522
airplane96.bmp,adaptive,75.309
airplane97.bmp,lsb,75.477
airplane97.bmp,adaptive,75.249
airplane98.bmp,lsb,75.224
airplane98.bmp,adaptive,75.388
airplane99.bmp,lsb,75.361
airplane99.bmp,adaptive,75.477
